Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
click,Chrome 67.0.3396.99,,2018-07-18 08:46:18,2018-07-18 08:46:18,0.109s,PASSED
,,,,,,
Test Cases/Navigations/Navigation - Holiday Rate Calculation,Chrome 67.0.3396.99,,2018-07-18 08:46:18,2018-07-18 08:46:26,8.240s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:46:18,2018-07-18 08:46:20,2.005s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-18 08:46:20,2018-07-18 08:46:20,0.054s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:46:20,2018-07-18 08:46:21,1.002s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-18 08:46:21,2018-07-18 08:46:21,0.046s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:46:21,2018-07-18 08:46:22,1.001s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:46:22,2018-07-18 08:46:26,3.796s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:46:26,2018-07-18 08:46:26,0.099s,PASSED
,,,,,,
